Name,Type 1,Type 2,HP,Attack,Defense,Speed
Elgyem,Psychic,,55,55,55,30
Beheeyem,Psychic,,75,75,75,40
Litwick,Ghost,Fire,50,30,55,20
Lampent,Ghost,Fire,60,40,60,55
Chandelure,Ghost,Fire,60,55,90,80
Axew,Dragon,,46,87,60,57
Fraxure,Dragon,,66,117,70,67
Haxorus,Dragon,,76,147,90,97
Cubchoo,Ice,,55,70,40,40
Beartic,Ice,,95,110,80,50
Cryogonal,Ice,,70,50,30,105
Shelmet,Bug,,50,40,85,25
Accelgor,Bug,,80,70,40,145
Stunfisk,Ground,Electric,109,66,84,32
Mienfoo,Fighting,,45,85,50,65
Mienshao,Fighting,,65,125,60,105
Druddigon,Dragon,,77,120,90,48
Golett,Ground,Ghost,59,74,50,35
Golurk,Ground,Ghost,89,124,80,55
Pawniard,Dark,Steel,45,85,70,60
Bisharp,Dark,Steel,65,125,100,70
Bouffalant,Normal,,95,110,95,55
Rufflet,Normal,Flying,70,83,50,60
Braviary,Normal,Flying,100,123,75,80
Vullaby,Dark,Flying,70,55,75,60
Mandibuzz,Dark,Flying,110,65,105,80
Heatmor,Fire,,85,97,66,65
Durant,Bug,Steel,58,109,112,109
Deino,Dark,Dragon,52,65,50,38
Zweilous,Dark,Dragon,72,85,70,58
Hydreigon,Dark,Dragon,92,105,90,98
Larvesta,Bug,Fire,55,85,55,60
Volcarona,Bug,Fire,85,60,65,100
Cobalion,Steel,Fighting,91,90,129,108
Terrakion,Rock,Fighting,91,129,90,108
Virizion,Grass,Fighting,91,90,72,108
TornadusIncarnate Forme,Flying,,79,115,70,111
TornadusTherian Forme,Flying,,79,100,80,121
ThundurusIncarnate Forme,Electric,Flying,79,115,70,111
ThundurusTherian Forme,Electric,Flying,79,105,70,101
Reshiram,Dragon,Fire,100,120,100,90
Zekrom,Dragon,Electric,100,150,120,90
LandorusIncarnate Forme,Ground,Flying,89,125,90,101
LandorusTherian Forme,Ground,Flying,89,145,90,91
Kyurem,Dragon,Ice,125,130,90,95
KyuremBlack Kyurem,Dragon,Ice,125,170,100,95
KyuremWhite Kyurem,Dragon,Ice,125,120,90,95
KeldeoOrdinary Forme,Water,Fighting,91,72,90,108
KeldeoResolute Forme,Water,Fighting,91,72,90,108
MeloettaAria Forme,Normal,Psychic,100,77,77,90
MeloettaPirouette Forme,Normal,Fighting,100,128,90,128
Genesect,Bug,Steel,71,120,95,99
Chespin,Grass,,56,61,65,38
Quilladin,Grass,,61,78,95,57
Chesnaught,Grass,Fighting,88,107,122,64
Fennekin,Fire,,40,45,40,60
Braixen,Fire,,59,59,58,73
Delphox,Fire,Psychic,75,69,72,104
Froakie,Water,,41,56,40,71
Frogadier,Water,,54,63,52,97
Greninja,Water,Dark,72,95,67,122
Bunnelby,Normal,,38,36,38,57
Diggersby,Normal,Ground,85,56,77,78
Fletchling,Normal,Flying,45,50,43,62
Fletchinder,Fire,Flying,62,73,55,84
Talonflame,Fire,Flying,78,81,71,126
Scatterbug,Bug,,38,35,40,35
Spewpa,Bug,,45,22,60,29
Vivillon,Bug,Flying,80,52,50,89
Litleo,Fire,Normal,62,50,58,72
Pyroar,Fire,Normal,86,68,72,106
Flabébé,Fairy,,44,38,39,42
Floette,Fairy,,54,45,47,52
Florges,Fairy,,78,65,68,75
Skiddo,Grass,,66,65,48,52
Gogoat,Grass,,123,100,62,68
Pancham,Fighting,,67,82,62,43
Pangoro,Fighting,Dark,95,124,78,58
Furfrou,Normal,,75,80,60,102
Espurr,Psychic,,62,48,54,68
MeowsticMale,Psychic,,74,48,76,104
MeowsticFemale,Psychic,,74,48,76,104
Honedge,Steel,Ghost,45,80,100,28
Doublade,Steel,Ghost,59,110,150,35
AegislashBlade Forme,Steel,Ghost,60,150,50,60
AegislashShield Forme,Steel,Ghost,60,50,150,60
Spritzee,Fairy,,78,52,60,23
Aromatisse,Fairy,,101,72,72,29
Swirlix,Fairy,,62,48,66,49
Slurpuff,Fairy,,82,80,86,72
Inkay,Dark,Psychic,53,54,53,45
Malamar,Dark,Psychic,86,92,88,73
Binacle,Rock,Water,42,52,67,50
Barbaracle,Rock,Water,72,105,115,68
Skrelp,Poison,Water,50,60,60,30
Dragalge,Poison,Dragon,65,75,90,44
Clauncher,Water,,50,53,62,44
Clawitzer,Water,,71,73,88,59
Helioptile,Electric,Normal,44,38,33,70
Heliolisk,Electric,Normal,62,55,52,109
Tyrunt,Rock,Dragon,58,89,77,48
Tyrantrum,Rock,Dragon,82,121,119,71
Amaura,Rock,Ice,77,59,50,46
Aurorus,Rock,Ice,123,77,72,58
Sylveon,Fairy,,95,65,65,60
Hawlucha,Fighting,Flying,78,92,75,118
Dedenne,Electric,Fairy,67,58,57,101
Carbink,Rock,Fairy,50,50,150,50
Goomy,Dragon,,45,50,35,40
Sliggoo,Dragon,,68,75,53,60
Goodra,Dragon,,90,100,70,80
Klefki,Steel,Fairy,57,80,91,75
Phantump,Ghost,Grass,43,70,48,38
Trevenant,Ghost,Grass,85,110,76,56
PumpkabooAverage Size,Ghost,Grass,49,66,70,51
PumpkabooSmall Size,Ghost,Grass,44,66,70,56
PumpkabooLarge Size,Ghost,Grass,54,66,70,46
PumpkabooSuper Size,Ghost,Grass,59,66,70,41
GourgeistAverage Size,Ghost,Grass,65,90,122,84
GourgeistSmall Size,Ghost,Grass,55,85,122,99
GourgeistLarge Size,Ghost,Grass,75,95,122,69
GourgeistSuper Size,Ghost,Grass,85,100,122,54
Bergmite,Ice,,55,69,85,28
Avalugg,Ice,,95,117,184,28
Noibat,Flying,Dragon,40,30,35,55
Noivern,Flying,Dragon,85,70,80,123
Xerneas,Fairy,,126,131,95,99
Yveltal,Dark,Flying,126,131,95,99
Zygarde50% Forme,Dragon,Ground,108,100,121,95
Diancie,Rock,Fairy,50,100,150,50
DiancieMega Diancie,Rock,Fairy,50,160,110,110
HoopaHoopa Confined,Psychic,Ghost,80,110,60,70
HoopaHoopa Unbound,Psychic,Dark,80,160,60,80
Volcanion,Fire,Water,80,110,120,70
